timeNode0,bufferSizeNode0,timeNode7,bufferSizeNode7,timeNode6,bufferSizeNode6,timeNode2,bufferSizeNode2,timeNode1,bufferSizeNode1,timeNode5,delayNode5
56.5444861,50,81.77342886,0,82.77352886,0,87.39996733,6,91.40006733,0,163.7736289,78.36267099
56.77332886,49,82.77342886,1,83.77352886,1,88.39996733,5,92.40006733,1,164.7736289,84.16769052
57.41640196,50,82.77342886,0,83.77352886,0,89.39996733,4,92.40006733,0,165.7736289,84.78498957
57.54070717,51,83.77342886,1,84.77352886,1,89.68486048,5,93.40006733,1,166.7736289,79.35943046
57.70848249,52,83.77342886,0,84.77352886,0,90.39996733,4,93.40006733,0,167.7736289,80.26078016
57.77332886,51,84.77342886,1,85.77352886,1,90.54275612,5,94.40006733,1,168.7736289,85.66075237
58.24354717,52,84.77342886,0,85.77352886,0,90.86809653,6,94.40006733,0,169.7736289,86.59445497
58.54070717,53,85.77342886,1,86.77352886,1,91.25165675,7,95.40006733,1,170.7736289,80.72047565
58.77332886,52,85.77342886,0,86.77352886,0,91.2610575,8,95.40006733,0,171.7736289,81.63370517
58.87148875,53,86.77342886,1,87.77352886,1,91.39996733,7,96.40006733,1,172.7736289,89.35005952
59.51526975,54,86.77342886,0,87.77352886,0,92.36190341,8,96.40006733,0,173.7736289,89.17087
59.54070717,55,87.77342886,1,88.77352886,1,92.39996733,7,97.40006733,1,174.7736289,89.33477246
59.77332886,54,87.77342886,0,88.77352886,0,93.39996733,6,97.40006733,0,175.7736289,82.98444924
59.79554676,55,88.77342886,1,89.77352886,1,94.20923106,7,98.40006733,1,176.7736289,83.84311852
60.54070717,56,88.77342886,0,89.77352886,0,94.39996733,6,98.40006733,0,177.7736289,92.02635762
60.77241083,57,89.77342886,1,90.77352886,1,95.39996733,5,99.40006733,1,178.7736289,84.80133787
60.77332886,56,89.77342886,0,90.77352886,0,96.05051353,6,99.40006733,0,179.7736289,93.31510969
61.18491206,57,90.77342886,1,91.77352886,1,96.39996733,5,100.4000673,1,180.7736289,85.54140406
61.54070717,58,90.77342886,0,91.77352886,0,96.55771365,6,100.4000673,0,181.7736289,94.57435074
61.77332886,57,91.77342886,1,92.77352886,1,97.36251105,7,101.4000673,1,182.7736289,87.19974989
62.25298426,58,91.77342886,0,92.77352886,0,97.39996733,6,101.4000673,0,183.7736289,87.89223217
62.40169653,59,92.77342886,1,93.77352886,1,97.82424195,7,102.4000673,1,184.7736289,88.68988173
62.63268059,60,92.77342886,0,93.77352886,0,97.82894849,8,102.4000673,0,185.7736289,96.08876838
62.77332886,59,93.77342886,1,94.77352886,1,97.98729,9,103.4000673,1,186.7736289,89.80675269
63.63268059,60,93.77342886,0,94.77352886,0,98.39996733,8,103.4000673,0,187.7736289,90.78644023
63.77332886,59,94.77342886,1,95.77352886,1,99.11992414,9,104.4000673,1,188.7736289,91.60618798
63.90833186,60,94.77342886,0,95.77352886,0,99.39996733,8,104.4000673,0,189.7736289,99.23087274
64.36834582,61,95.77342886,1,96.77352886,1,99.4346458,9,105.4000673,1,190.7736289,99.90553232
64.63268059,62,95.77342886,0,96.77352886,0,100.3999673,8,105.4000673,0,191.7736289,92.8404469
64.77332886,61,96.77342886,1,97.77352886,1,100.6511545,9,106.4000673,1,192.7736289,101.5219721
65.4546152,62,96.77342886,0,97.77352886,0,100.9915012,10,106.4000673,0,193.7736289,93.99736387
65.63268059,63,97.77342886,1,98.77352886,1,101.3999673,9,107.4000673,1,194.7736289,103.5125714
65.77332886,62,97.77342886,0,98.77352886,0,102.3999673,8,107.4000673,0,195.7736289,94.668606
66.63268059,63,98.77342886,1,99.77352886,1,103.3999673,7,108.4000673,1,196.7736289,104.4117254
66.77332886,62,98.77342886,0,99.77352886,0,104.2666444,8,108.4000673,0,197.7736289,96.10070185
67.17494686,63,99.77342886,1,100.7735289,1,104.3999673,7,109.4000673,1,198.7736289,96.81468087
67.63268059,64,99.77342886,0,100.7735289,0,105.1632352,8,109.4000673,0,199.7736289,105.5643978
67.77332886,63,100.7734289,1,101.7735289,1,105.3999673,7,110.4000673,1,,
68.29476122,64,100.7734289,0,101.7735289,0,106.0124561,8,110.4000673,0,,
68.395796,65,101.7734289,1,102.7735289,1,106.3999673,7,111.4000673,1,,
68.63268059,66,101.7734289,0,102.7735289,0,107.0311148,8,111.4000673,0,,
68.77332886,65,102.7734289,1,103.7735289,1,107.3999673,7,112.4000673,1,,
